Fight Outcome,Name,Knockdowns,Strikes,Takedowns,Submission Attempts,Weight Class,Title Fight,Outcome Method,Number of Rounds
0,Zarrukh Adashev,0,28,0,0,Flyweight,0,U-DEC,3
1,Dalcha Lungiambula,0,29,1,0,Middleweight,0,U-DEC,3
0,Markus Perez,0,25,0,1,Middleweight,0,U-DEC,3
1,Francisco Figueiredo,0,29,4,0,Flyweight,0,U-DEC,3
0,Jerome Rivera,0,31,0,0,Flyweight,0,U-DEC,3
1,Mike Davis,0,108,3,0,Lightweight,0,U-DEC,3
0,Mason Jones,0,117,1,0,Lightweight,0,U-DEC,3
1,Umar Nurmagomedov,0,25,5,1,Bantamweight,0,SUB,2
0,Sergey Morozov,0,7,0,0,Bantamweight,0,SUB,2
1,Manon Fiorot,0,53,1,0,Women's Flyweight,0,KO/TKO,2
0,Victoria Leonardo,0,17,0,0,Women's Flyweight,0,KO/TKO,2
1,Max Holloway,0,445,0,0,Featherweight,0,U-DEC,5
0,Calvin Kattar,0,133,0,0,Featherweight,0,U-DEC,5
1,Carlos Condit,0,39,2,0,Welterweight,0,U-DEC,3
0,Matt Brown,0,28,1,0,Welterweight,0,U-DEC,3
1,Li Jingliang,1,21,0,0,Welterweight,0,KO/TKO,1
0,Santiago Ponzinibbio,0,11,0,0,Welterweight,0,KO/TKO,1
1,Alessio Di Chirico,1,12,0,0,Middleweight,0,KO/TKO,1
0,Joaquin Buckley,0,3,0,0,Middleweight,0,KO/TKO,1
1,Punahele Soriano,2,30,0,0,Middleweight,0,KO/TKO,1
0,Dusko Todorovic,0,22,0,0,Middleweight,0,KO/TKO,1
1,Joselyne Edwards,0,88,0,1,Women's Bantamweight,0,U-DEC,3
0,Wu Yanan,0,58,1,0,Women's Bantamweight,0,U-DEC,3
1,Carlos Felipe,0,77,0,0,Heavyweight,0,S-DEC,3
0,Justin Tafa,0,86,0,0,Heavyweight,0,S-DEC,3
1,Ramazan Emeev,0,53,4,0,Welterweight,0,S-DEC,3
0,David Zawada,0,44,1,0,Welterweight,0,S-DEC,3
1,Vanessa Melo,0,56,0,0,Women's Bantamweight,0,U-DEC,3
0,Sarah Moras,0,44,0,0,Women's Bantamweight,0,U-DEC,3
1,Austin Lingo,1,95,1,0,Featherweight,0,U-DEC,3
0,Jacob Kilburn,0,64,1,1,Featherweight,0,U-DEC,3
1,Stephen Thompson,0,171,0,0,Welterweight,0,U-DEC,5
0,Geoff Neal,0,85,0,0,Welterweight,0,U-DEC,5
1,Jose Aldo,0,44,0,0,Bantamweight,0,U-DEC,3
0,Marlon Vera,0,46,0,0,Bantamweight,0,U-DEC,3
1,Michel Pereira,0,44,2,1,Welterweight,0,U-DEC,3
0,Khaos Williams,0,55,0,0,Welterweight,0,U-DEC,3
1,Rob Font,1,30,0,0,Bantamweight,0,KO/TKO,1
0,Marlon Moraes,0,9,2,0,Bantamweight,0,KO/TKO,1
1,Marcin Tybura,0,51,1,0,Heavyweight,0,KO/TKO,2
0,Greg Hardy,0,50,0,0,Heavyweight,0,KO/TKO,2
1,Anthony Pettis,0,50,0,0,Welterweight,0,U-DEC,3
0,Alex Morono,0,31,1,0,Welterweight,0,U-DEC,3
1,Pannie Kianzad,0,92,0,0,Women's Bantamweight,0,U-DEC,3
0,Sijara Eubanks,0,49,2,0,Women's Bantamweight,0,U-DEC,3
1,Deron Winn,0,20,12,0,Catch Weight,0,U-DEC,3
